vejolaččat	mahdollisesti	Adv	Adv
dohkálaččat	kelvollinen	Adv	A
báikkálaččat	paikallisesti	Adv	Adv
gaskamearálaččat	keskimääräisesti	Adv	Adv
jahkásaččat	vuotinen	Adv	+?
goappašat	molemmat	A|Pron	Pron
eaiggáduššat	omistaa	V	V
áimmahuššat	ylläpitää	V	V
ságaškuššat	keskustella	V	V
nákcet	pystyä	V	V
muddet	oikoa& korjata	V	V
bivdet	pyytää	V	V
bágget	pakottaa	V	V
njulget	oikoa	V	+?
čavget	kiristää	V	V
čuvget	ilmoittaa	V	V
máŋget	monistaa	V	V
suddjet	suojella	V	V
ráddjet	rajoittaa	V	V
goiket	kuivata	V	V
čohkket	kerätä	V	V
vurket	säilytä	V	+?
hábmet	hahmota	V	+?
stipeandaortnet	stipendijärjestelmä	N	+?
válgaortnet	vaalijärjestelmä	N	N
doarjjaortnet	tukijärjestelmä	N	N
hálddašanortnet	hallintojärjestelmä	N	N
čoahkkinortnet	päiväjärjestys	N	N
reguleret	säätää	V	V
defineret	määritellä	V	V
integreret	integroida	V	V
formaliseret	formalisoida	V	V
organiseret	järjestää	V	V
konkretiseret	konkretisoida	V	V
raporteret	raportoida	V	V
rekrutteret	rekrytoida	V	V
evalueret	arvioida	V	V
buoret	miellummin& paremmin	Adv	Adv
earret	paitsi	Pr	Adv& Po& Pcle
sirret	jakaa	V	+?
várret	varoittaa	V	V
stivret	hallita	V	V
dásset	tasoittaa	A|V	V
viidáset	eteenpäin	Adv	Adv
iešguhtet	jokainen	Pron	Pron
máhttoloktet	nostaa tietomäärä	+?	+?
kártet	kartoittaa	V	V
hehttet	estää	V	V
gáhttet	katua	V	V
luvvet	ratkaista	V	V
bláđet	kääntää sivua	V	+?
ráđđet	neuvoa	V	V
čuohcit	vaikuttaa	V	V
rievddadit	muuttaa	V	V
bagadit	kasvattaa	V	V
čielggadit	selittää	V	V
juogadit	jakaa	V	+?
nammadit	nimittää	V	V
šiehtadit	sopimus	V	N
buhtadit	hyvittää	V	V
duhtadit	tyydyttää	V	V
eastadit	estää	V	V
buvttadit	tuottaa	V	V
geahpedit	keventää	V	V
fievrredit	kuljettaa	+?	V
viiddidit	laajentaa	V	V
ovddidit	edistää	V	V
bajidit	nostaa	V	V
guhkidit	pidentää	V	V
dáhkidit	taata	V	N& V
vuolidit	alentaa	V	V
unnidit	vähentää	V	V
eahpidit	epäillä	V	V
geahpidit	keventää	V	V
fievrridit	kuljettaa	V	V
mihtidit	mitata	V	V
deaividit	tapahtua	V	V
govvidit	kuvata	V	V
váidit	valitus	V	N
maŋidit	lykätä	V	V
gáržžidit	rajoittaa	V	V
gieldit	kieltää	V	V
siskkildit	sisältää	V	V
vuhtiiváldit	ottaa huomioon	V	+?
vuostáiváldit	ottaa vastaan	V	+?
divodit	korjata	V	V
oččodit	yrittää saada	V	+?
suokkardit	tutkia	V	V
meannudit	käyttäytyä	V	V
vuođđudit	perustaa	V	V
čiekŋudit	paneutua	V	V
navdit	nimittää& pitää	V	V
čoavdit	ratkaista	V	V
duvdit	tuki	V	+?
virgádit	nimittää virkaan	V	+?
beaivádit	päivittää	V	V
luobahit	luopua	V	V
máhcahit	palauttaa	V	V
dagahit	aiheuttaa	V	V
vuolggahit	käynnistää	V	V
guoskkahit	koskea	V	V
doalahit	pitää	V	V
olahit	ehtiä	V	V
fuolahit	huolehtia	V	V
gávnnahit	selvittää	V	V
ásahit	järjestää	V	V
čilgehit	selittää	V	V
bissehit	pysäyttää	V	V
vásihit	kokea	V	+?
heaittihit	lopettaa	V	V
gozihit	vahtia	V	V
mieđihit	myöntää	V	V
jođihit	johtaa	V	V
seaguhit	sekoittaa	V	V
váikkuhit	vaikuttaa	V	V
seailluhit	säilyttää	V	V
earuhit	erottaa	V	V
vuoruhit	priorisoida	V	V
bisuhit	säilyttää	V	V
deattuhit	painottaa	V	V
muittuhit	muistuttaa	V	V
eavttuhit	ehdottaa	V	V
čuoččuhit	väittää	V	V
bálkáhit	vuokrata	V	V
bajit	ylä-	A	+?
guhkit	pidempi	Adv	+?
álkit	helppo	Adv	A
guoddalit	valittaa	V	V
váidalit	valittaa	V	V
vuovdalit	markkinoida	V	V
suodjalit	suojella	V	V
bálvalit	palvella	V	V
vuolláičállit	allekirjoittaa	V	V
vuolit	alhainen& ala-	A	A
čuovvolit	seurata	V	V
čuovvulit	seurata	V	V
čoahkkanit	kokoontua	V	V
hedjonit	heikentyä	V	V
ovdánit	kehittyä	V	V
geahppánit	keventyä	V	V
lassánit	lisääntyä	V	V
massit	menettää	V	V
ollásit	täydellinen	Adv|V	A
laktit	monistaa	V	V
boktit	herättää	V	V
ovdanbuktit	esittää	V	V
ovddastit	edustaa	V	V
dovddastit	myöntää	V	V
oasálastit	osallistua	V	V
vuostálastit	vastustaa& protestoida	V	V
fátmmastit	syleillä	V	V
sihkarastit	varmistaa	V	V
sihkkarastit	varmistaa	V	V
deattastit	alleviivata	V	V
ovttastit	yhdistää	V	V
ođastit	uudistaa	V	V
váfistit	vahvistaa	V	V
dárkkistit	tarkistaa	V	V
gárvvistit	valmistaa	V	V
dávistit	vastata	V	V
einnostit	ennustaa	V	V
guolástit	kalastaa	V	V
álkidahttit	yksinkertaistaa	V	V
movttidahttit	innoittaa	V	V
vahágahttit	vahingoittaa	V	V
gudnejahttit	kunnia	V	N
ođasmahttit	päivittää	V	V
nanosmahttit	vahvistaa	V	V
ovdánahttit	kehittää	V	V
sulastahttit	muistuttaa	V	V
buohtastahttit	vertailla	V	V
ovttastahttit	yhdistää	V	V
aiddostahttit	tarkentaa	V	V
ráfáiduhttit	rauhoittaa	V	V
muosehuhttit	häiritä	V	V
nuppástuhttit	muuttaa	V	V
fuomášuhttit	huomauttaa	V	V
válmmaštit	valmentaa	V	V
duođaštit	vahvistaa	V	V
bealuštit	puolustaa	V	V
heađuštit	estää	V	V
vuođuštit	perustella	V	V
ráŋggáštit	rankaista	V	+?
láhčit	sijoita	V	+?
maŋit	taka-	A	+?
hálddašit	hallita	V	V
máinnašit	mainonta	V	N
šállošit	valittaa	V	V
fuomášit	huomata	V	V
earenoamážit	erityisesti	Adv	Adv& Pcle
dárkot	tarkistaa	V	V
sámeálbmot	saamenkansa	N	+?
dárkileappot	tarkempi	Adv	+?
viidáseappot	edelleen& eteenpäin	Adv	Adv
rahppot	avautua	V	V
orrot	asua	V	V
gustot	pitää	V	V
buorebut	parantaa	Adv	V
hilgut	hylkiä	V	V
njuolgut	suoristaa	Adv|V	V
rihkkut	rikkoa	V	V
doalut	pidot	N	N
unnut	vähentyä	V	V
lotnut	maksaa	V	V
geassut	vetää	V	V
guohtut	laidun	V	+?
boastut	väärin	Adv	Adv
movt	miten	CS|Adv	Adv
soalddát	sotilas	N	N
eaiggát	omistaja	N	N
eanaeaiggát	maanomistaja	N	N
eananeaiggát	maanomistaja	N	N
boazoeaiggát	poronomistaja	N	+?
vahát	vahinko	N	N
oalát	täydellinen	Adv	A
deaddu	paino	N	N
riddu	rannikko	N	N
miellaguoddu	mielipide& asenne	N	+?
muddu	vaihe	N	N
olámuddu	ulottuvuus	N	N
reaidu	työkalu	N	N
neahttasiidu	nettisivu	N	N
gáldu	lähde	N	+?
bággu	pakko	N	N
nággu	riita	N	N
viessoláigu	vuokra	N	N
čálgu	viihtyvyys& hyvinvointi	N	N
ovdabargu	esityö	N	N
láhkabargu	lakityö	N	+?
giellabargu	kielityöntekijä	N	+?
plánabargu	suunnittelutyö	N	N
ovddidanbargu	yhteistyö	N	N
ovdánahttinbargu	kehitystyö	N	N
dásseárvobargu	tasa-arvotyö	N	+?
ovttasbargu	yhteistyö	N	N
doaibmabidju	toimenpide	N	+?
báhčinšillju	ampumarata	N	N
dahku	teko	N	+?
lohku	luku	N	N
boazolohku	poroluku& poromäärä	N	+?
eanetlohku	enemmistö	N	N
unnitlohku	vähemmistö	N	N
olmmošlohku	asukasluku	N	N
juohku	jako	N	+?
vuosteháhku	vastustus	N	N
sáhkku	sakko	N	N
referánsajoavku	referenssiryhmä	N	+?
sámediggejoavku	saamelaiskäräjien joukko	N	+?
ulbmiljoavku	tavoiteryhmä	N	+?
bargojoavku	työryhmä	N	N
álbmotjoavku	kansakunta	N	N
doallu	toimintayksikkö	N	N
eanadoallu	maanviljely	N	N
sisdoallu	sisältö	N	N
rehketdoallu	tilinpito	N	N
gollu	kulu	N	A& N
doaibmagollu	toimikulu	N	+?
duopmostuollu	tuomioistuin	N	N
olu	paljon	Adv|A	Adv
giellaguovlu	kielialue	+?	N
doaibmaguovlu	toiminta-alue	N	N
vuotnaguovlu	vuonoalue	N	+?
mearraguovlu	merialue	N	N
sámeguovlu	saamen alue	+?	+?
davviguovlu	pohjoinen alue	N	+?
hálddahanguovlu	hallintoalue	+?	N
hálddašanguovlu	hallintoalue	N	N
báhčinguovlu	ampuma-alue	N	+?
guohtunguovlu	laidunalue	N	N
riddoguovlu	rannikkoseutu	N	N
boazodoalloguovlu	paliskunta& poronhoitoalue	N	N
duopmu	tuomio	N	N
váikkuhanfápmu	vaikutusvalta	N	N
oaidnu	mielipide	N	+?
ruvdnu	kruunu	N	N
atnu	käyttö	N	N
joatkkaoahppu	jatkokoulutus	N	N
oahpaheaddjeoahppu	opettajanopetus	N	+?
dárru	norjan kieli	N	+?
fárru	seurue	N	N
máksu	maksu	N	N
čoahkkáigeassu	yhteenveto	N	N
sisaboahtu	ansio	N	N
árbediehtu	perinnetieto	N	+?
vuoitu	voitto	N	N
eaktu	ehto	N	N
molssaeaktu	vaihtoehto	N	N
beaktu	teho	N	N
reantu	korko	N	+?
áššelistu	asialista	N	N
lahttu	jäsen	N	N
stivralahttu	johtokunnan jäsen	N	+?
várrelahttu	varajäsen	N	N
miellahttu	jäsen	N	N
lihttu	liito	N	N
mihttu	mitta	N	N
dáhttu	tahto	N	N
boasttu	väärä	A	A
dásseárvu	tasa-arvo	N	N
veahkkeneavvu	apuneuvo	N	N
oahpponeavvu	opetusmateriaali	N	N
čuovvu	seuraaja	N	N
diehtovuođđu	tietokanta	N	N
julev	luulaja	+?	+?
gonagasreabbá	kuningasrapu	N	N
mihá	melko	Adv	Pcle
linjjá	viiva& linja	N	N
linjá	viiva& linja	N	N
vuorká	arkisto	N	N
sátnevuorká	sanavarasto	N	N
dávvirvuorká	museo	N	N
dalá	silloinen	Adv|A	A
almmá	ilman	Adv	Adv& Po
otná	tämän päivän	A	+?
gč	ks	V	+?
juohkehaš	jokainen	Pron	Pron
obbalaš	yleinen	A	A
dáiddalaš	taiteellinen	A	A
čearddalaš	etninen	A	A
ovdalaš	aikaisemmin	A|Adv	Adv
geográfalaš	maantieteellinen	A	A
strategalaš	strateginen	A	A
vuoiggalaš	rehellinen	A	A
pedagogalaš	pedagoginen	A	A
erenoamášpedagogalaš	erikoispedagoginen	A	+?
biologalaš	biologinen	A	A
ekologalaš	ekolooginen	A	+?
norgalaš	norjalainen	A|N	A
fágalaš	ammatillinen	A	A
lágalaš	laillinen	A	A
juridihkalaš	juridinen	A	A
teknihkalaš	tekninen	A	A
politihkalaš	poliittinen	A	A
sámepolitihkalaš	saamepoliittinen	A	+?
praktihkalaš	käytännöllinen	A	A
psyhkalaš	psyykkinen	A	A
gaskariikkalaš	kansainvälinen	A	A
davviriikkalaš	pohjoismainen	A|N	A
psykalaš	psyykkinen	A	A
gielalaš	kielellinen	A	A
sámegielalaš	saamenkielinen	A	A
dihtomielalaš	tietoinen	A	A
sosiálalaš	sosiaalinen	A	A
formálalaš	muodollinen	A	A
ekonomalaš	taloudellinen	A	A
iešheanalaš	itsenäinen	A	A
bienalaš	yksityiskohtainen	A	A
ovttajienalaš	yksimielisesti	A	Adv
persovnnalaš	henkilöllinen	A	+?
našuvnnalaš	kansallinen	A	A
nášuvnnalaš	kansallinen	+?	A
loahpalaš	vihdoin	A	Adv& Pcle
prinsihpalaš	periaatteellinen	A	A
eurohpalaš	eurooppalainen	A	A
oppalaš	yleinen	A	A
kultuvrralaš	kulttuurinen	A	A
máŋggakultuvrralaš	monikulttuurinen	A	A
parlamentáralaš	parlamentaarinen	A	A
deatalaš	tärkeä	A	A
konkrehtalaš	konkreettinen	A	A
systemáhtalaš	systemaattinen	A	A
automáhtalaš	automaattinen	A	A
demokráhtalaš	demokraattinen	A	A
stáhtalaš	valtiollinen	A	A
arktalaš	arktinen	+?	A
árktalaš	arktinen	A	A
negatiivvalaš	negatiivinen	A	A
positiivvalaš	positiivinen	A	A
dieđalaš	tieteellinen	A	A
ruđalaš	rahallinen	A	A
vuoiŋŋalaš	hengellinen	A	A
ulbmillaš	määrätietoinen	A	A
suohkanlaš	kunnallinen	A	A
gelbbolaš	kelvollinen	A	A
girkolaš	kirkollinen	A	A
eaktodáhtolaš	vapaaehtoinen	A	A& N
šattolaš	seuraaja	A	N
molssaevttolaš	vapaaehtoinen	A	A& N
vuđolaš	perusteellinen	A	A
gonagaslaš	kuninkaallinen	A	A& N
dievaslaš	täydellinen	A	A
hálddahuslaš	hallinnollinen	A	A
servodatlaš	yhteiskunnallinen	A	A
geavatlaš	käytännöllinen	A	A
guovllulaš	alueellinen	A	A
guovlulaš	alueellinen	A	A
lobálaš	laillinen	A	A
dohkálaš	sopiva& kelvollinen	A	A
báikkálaš	paikallinen	A	A
ávkkálaš	hyödyllinen	A	A
ekonomálaš	taloudellinen	A	A
sálaš	saalis	N	N
olmmošlaš	kohtelias	A	A
eanaš	enimmäkseen	Adv|Pron|A	Adv
goappaš	molemmat	Pron	Pron
gaskaboddasaš	väliaikainen	A	A
sullasaš	samanlainen	A	A
nammasaš	niminen	A	A
gaskaboddosaš	väliaikainen	A	A
riikkaviidosaš	maankattava	A	+?
ruvdnosaš	kruunuinen	A	+?
sturrosaš	suuruinen	A	A
ovttaárvosaš	samaarvoinen	A	+?
jahkásaš	yksivuotinen	A	A& N
dássásaš	tasavertainen	A	A
sorjavaš	riippumaton	A	+?
guoskevaš	koskien	A	Po
váilevaš	puuttuva	A	A
gullevaš	kuuluva	A	A
boahttevaš	tuleva	A	A
gustovaš	koskevan	A	+?
fágaolmmoš	ammattilainen	N	A& N
rávisolmmoš	aikuinen	N	A
ohcamuš	hakemus	N	N
soahpamuš	sopimus	N	N
vuosttamuš	ensisijaisesti	A	Adv
bajimuš	ylin	A	A
vuordámuš	odotus	N	N
cealkámuš	lausunto	N	N
luohttámuš	luottamus	N	N
njunuš	kärki	N	N
filbmaguovddáš	elokuvakeskus	N	+?
preassaguovddáš	lehdistökeskus	N	+?
gelbbolašvuođaguovddáš	kompetenssikeskus	N	+?
gealboguovddáš	kompetenssikeskus	N	+?
kulturguovddáš	kulttuurikeskus	N	N
duogáš	tausta	N	N
veaháš	vähän	Adv|Pron	Adv& Pcle
dáláš	nykyaikainen	A|N	A
earenoamáš	erinomainen	+?	A
erenoamáš	erikoinen	Adv|A	A
otnáš	tämänpäivän	A	+?
